CNNVD,VEDAS
CNNVD-202507-238,0.192782
CNNVD-202507-237,0.1916633
CNNVD-202507-236,0.1910864
CNNVD-202507-235,0.1916633
CNNVD-202507-234,0.192782
CNNVD-202507-233,0.1924898
CNNVD-202507-232,0.1928136
CNNVD-202507-231,0.1892525
CNNVD-202507-230,0.1892525
CNNVD-202507-229,0.1925214
CNNVD-202507-228,0.1916633
CNNVD-202507-227,0.1903182
CNNVD-202507-226,0.1903182
CNNVD-202507-225,0.1925214
CNNVD-202507-224,0.1892525
CNNVD-202507-223,0.1892525
CNNVD-202507-222,0.192782
CNNVD-202507-221,0.192782
CNNVD-202507-220,0.1903182
CNNVD-202507-219,0.1892525
CNNVD-202507-218,0.1916633
CNNVD-202507-217,0.1892525
CNNVD-202507-216,0.1892525
CNNVD-202507-215,0.1903182
CNNVD-202507-214,0.1892525
CNNVD-202507-213,0.1910864
CNNVD-202507-212,0.1916633
CNNVD-202507-211,0.1916633
CNNVD-202507-210,0.1910864
CNNVD-202507-209,0.1903182
CNNVD-202507-208,0.1921326
CNNVD-202507-207,0.1921326
CNNVD-202507-206,0.1892525
CNNVD-202507-205,0.1916633
CNNVD-202507-204,0.1910864
CNNVD-202507-203,0.1892554
CNNVD-202507-202,0.1921326
CNNVD-202507-201,0.1924898
CNNVD-202507-200,0.192782
CNNVD-202507-199,0.1892525
CNNVD-202507-198,0.1916633
CNNVD-202507-197,0.1910864
CNNVD-202507-196,0.1903182
CNNVD-202507-195,0.1910864
CNNVD-202507-194,0.192782
CNNVD-202507-193,0.1924898
CNNVD-202507-192,0.1924898
CNNVD-202507-191,0.1921326
CNNVD-202507-190,0.192782
CNNVD-202507-189,0.1903182
CNNVD-202507-188,0.1924898
CNNVD-202507-187,0.1903182
CNNVD-202507-186,0.1892525
CNNVD-202507-185,0.1916633
CNNVD-202507-184,0.1903182
CNNVD-202507-183,0.1860784
CNNVD-202507-182,0.1916633
CNNVD-202507-181,0.1903182
CNNVD-202507-180,0.1924898
CNNVD-202507-179,0.1958772
CNNVD-202507-178,0.1735293
CNNVD-202507-177,0.3343829
CNNVD-202507-176,0.187631
CNNVD-202507-175,0.187588
CNNVD-202507-174,0.698478
CNNVD-202507-173,0.789538
CNNVD-202507-172,0.7397152
CNNVD-202507-171,0.183992
CNNVD-202507-170,0.2057647
CNNVD-202507-169,0.1746239
CNNVD-202507-168,0.173455
