BDU,VEDAS
BDU:2014-00274,0.0
BDU:2014-00167,-5.000000000143778e-07
BDU:2014-00190,0.0
BDU:2014-00092,-2.2000000000077513e-06
BDU:2015-00071,0.0
BDU:2015-00090,-2.1000000000048757e-06
BDU:2014-00089,-6.0599999999966236e-05
BDU:2014-00266,-1.4999999999876223e-06
BDU:2014-00128,0.0
BDU:2015-00089,1.380000000000825e-05
BDU:2014-00130,2.0999999999493646e-06
BDU:2015-00081,-2.1000000000048757e-06
BDU:2014-00144,0.0
BDU:2014-00152,0.0
BDU:2014-00269,0.0
BDU:2014-00182,-3.4999999999341114e-06
BDU:2014-00267,-1.4999999999876223e-06
BDU:2014-00159,0.0
BDU:2014-00151,-5.999999999617422e-07
BDU:2014-00136,0.0
BDU:2015-00074,0.0
BDU:2014-00149,0.0
BDU:2014-00148,-6.000000000172534e-07
BDU:2015-00083,-2.2000000000077513e-06
BDU:2014-00156,-7.00000000020129e-07
BDU:2014-00158,0.0
BDU:2014-00153,1.0000000000287557e-07
BDU:2014-00168,-2.19999999995224e-06
BDU:2014-00166,0.0
BDU:2014-00406,-5.999999999894978e-07
BDU:2015-00066,0.0
BDU:2014-00161,0.0
BDU:2014-00268,-1.4999999999876223e-06
BDU:2014-00309,0.0
BDU:2014-00127,0.0
BDU:2015-00087,0.0
BDU:2015-00073,0.0
BDU:2014-00096,-6.0599999999966236e-05
BDU:2015-00067,0.0
BDU:2014-00178,-6.000000000172534e-07
BDU:2014-00163,0.0
BDU:2014-00413,0.0
BDU:2014-00420,-5.0999999999801204e-06
BDU:2014-00189,0.0
BDU:2014-00172,1.0000000000287557e-07
BDU:2014-00259,0.0
BDU:2014-00180,0.0
BDU:2014-00317,0.0
BDU:2014-00326,-3.000000000086267e-07
BDU:2015-00096,-3.000000000086267e-07
BDU:2014-00430,-2.2000000000077513e-06
BDU:2014-00416,-5.0999999999801204e-06
BDU:2015-00088,-2.0999999999493646e-06
BDU:2014-00276,-1.4999999999876223e-06
BDU:2014-00097,-6.0599999999966236e-05
BDU:2014-00257,0.0
BDU:2014-00323,-3.9999999990047996e-07
BDU:2014-00165,1.0000000000287557e-07
BDU:2014-00434,-1.600000000046009e-06
